               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,            0.033901,             0.11203,                   0,             0.84246,             0.72871,             0.77083,             0.38902,            0.036651,             0.22584,                   0,             0.00703,             0.00703,             0.00703
                 122,            0.033687,             0.13623,                   0,             0.85411,               0.753,             0.79533,             0.41598,            0.036161,             0.21834,                   0,           0.0070053,           0.0070053,           0.0070053
                 123,            0.032355,             0.10943,                   0,             0.84675,             0.73281,             0.78381,             0.41495,            0.035528,             0.22302,                   0,           0.0069805,           0.0069805,           0.0069805
                 124,            0.032367,             0.12624,                   0,             0.84198,             0.72844,             0.77159,             0.38359,            0.038142,             0.23292,                   0,           0.0069558,           0.0069558,           0.0069558
                 125,            0.031938,             0.11909,                   0,             0.85204,             0.74025,             0.79161,             0.41231,            0.035978,             0.21971,                   0,            0.006931,            0.006931,            0.006931
                 126,            0.032177,             0.13255,                   0,             0.84183,             0.72489,             0.76794,              0.3902,            0.036125,             0.22024,                   0,           0.0069063,           0.0069063,           0.0069063
                 127,            0.031406,             0.10378,                   0,             0.84202,             0.74181,             0.78333,             0.40682,            0.036332,             0.21629,                   0,           0.0068815,           0.0068815,           0.0068815
                 128,            0.033534,             0.11863,                   0,             0.84159,             0.75273,             0.78662,             0.40861,            0.035876,             0.21892,                   0,           0.0068568,           0.0068568,           0.0068568
                 129,            0.031917,              0.1227,                   0,              0.8261,             0.74973,             0.77573,             0.39425,            0.036731,             0.21605,                   0,            0.006832,            0.006832,            0.006832
                 130,             0.03227,             0.11383,                   0,              0.8223,             0.71864,             0.75375,             0.35949,            0.038613,             0.22493,                   0,           0.0068073,           0.0068073,           0.0068073
                 131,            0.034328,             0.11676,                   0,             0.83525,             0.75823,             0.79109,              0.4197,            0.035563,             0.21067,                   0,           0.0067825,           0.0067825,           0.0067825
                 132,            0.032477,             0.11257,                   0,             0.85317,             0.73745,             0.78403,             0.39458,              0.0366,             0.21817,                   0,           0.0067577,           0.0067577,           0.0067577
                 133,            0.032758,             0.13057,                   0,             0.85137,             0.74259,              0.7882,             0.40492,            0.037284,             0.21574,                   0,            0.006733,            0.006733,            0.006733
                 134,            0.033374,             0.10854,                   0,             0.85948,             0.74451,             0.78549,             0.39992,            0.036477,             0.21495,                   0,           0.0067082,           0.0067082,           0.0067082
                 135,            0.031618,             0.10236,                   0,             0.86247,             0.73826,             0.78832,             0.40918,            0.035976,             0.21937,                   0,           0.0066835,           0.0066835,           0.0066835
                 136,            0.032354,             0.10645,                   0,             0.83587,             0.72555,             0.77088,             0.38677,            0.037748,             0.22888,                   0,           0.0066587,           0.0066587,           0.0066587
                 137,             0.02966,             0.11756,                   0,              0.8084,             0.67248,             0.72469,             0.34691,             0.04439,             0.26922,                   0,            0.006634,            0.006634,            0.006634
                 138,            0.030059,             0.11776,                   0,              0.8116,             0.67222,             0.70779,             0.32608,            0.041599,             0.26113,                   0,           0.0066092,           0.0066092,           0.0066092
                 139,            0.030146,             0.11129,                   0,             0.82914,             0.62513,             0.69521,             0.32375,            0.041345,             0.28882,                   0,           0.0065845,           0.0065845,           0.0065845
                 140,            0.032154,             0.11766,                   0,             0.81683,             0.69705,             0.73469,             0.33891,            0.040609,             0.23853,                   0,           0.0065598,           0.0065598,           0.0065598
                 141,            0.032023,             0.11014,                   0,             0.82935,             0.70034,             0.74283,             0.35239,            0.039229,             0.24099,                   0,            0.006535,            0.006535,            0.006535
                 142,            0.031955,             0.10347,                   0,             0.84017,             0.69724,              0.7708,             0.39577,            0.036729,             0.22798,                   0,           0.0065102,           0.0065102,           0.0065102
                 143,            0.031103,             0.12136,                   0,             0.83188,             0.71438,             0.77075,             0.39654,            0.036387,             0.22376,                   0,           0.0064855,           0.0064855,           0.0064855
                 144,            0.029974,             0.10667,                   0,             0.85119,             0.73663,             0.78486,             0.40585,             0.03558,             0.22339,                   0,           0.0064608,           0.0064608,           0.0064608
                 145,            0.029348,             0.11474,                   0,             0.85112,             0.75363,             0.79842,             0.42882,            0.034983,             0.21208,                   0,            0.006436,            0.006436,            0.006436
                 146,            0.028883,             0.10017,                   0,             0.85349,             0.73963,             0.79392,             0.41542,            0.034993,             0.21479,                   0,           0.0064112,           0.0064112,           0.0064112
                 147,             0.02977,            0.099485,                   0,             0.84131,             0.74809,             0.78924,             0.40943,            0.037212,             0.21394,                   0,           0.0063865,           0.0063865,           0.0063865
                 148,            0.031275,             0.11843,                   0,             0.81178,             0.71015,             0.73668,             0.33231,            0.040837,             0.23071,                   0,           0.0063618,           0.0063618,           0.0063618
                 149,            0.031447,             0.11034,                   0,             0.83164,             0.72298,             0.76197,             0.37654,            0.038057,             0.22738,                   0,            0.006337,            0.006337,            0.006337
                 150,            0.030835,             0.11254,                   0,              0.8657,             0.74072,             0.79683,              0.4249,            0.034976,             0.21485,                   0,           0.0063122,           0.0063122,           0.0063122
                 151,            0.029755,             0.11711,                   0,             0.84977,             0.73854,             0.78902,              0.4001,            0.036779,             0.22019,                   0,           0.0062875,           0.0062875,           0.0062875
                 152,            0.031286,             0.12294,                   0,             0.86751,             0.73986,             0.78376,             0.40373,            0.036131,             0.21729,                   0,           0.0062628,           0.0062628,           0.0062628
                 153,            0.030431,             0.11764,                   0,             0.85086,             0.72868,             0.78645,             0.40902,            0.036394,             0.21505,                   0,            0.006238,            0.006238,            0.006238
                 154,            0.030845,             0.11255,                   0,             0.84371,             0.73581,             0.78021,             0.41113,            0.035317,             0.21704,                   0,           0.0062132,           0.0062132,           0.0062132
                 155,            0.030242,             0.12691,                   0,             0.85685,             0.73635,             0.79569,             0.42431,            0.035191,             0.22011,                   0,           0.0061885,           0.0061885,           0.0061885
                 156,            0.028904,             0.12013,                   0,             0.83564,             0.74727,             0.79073,             0.42616,            0.034387,             0.21576,                   0,           0.0061637,           0.0061637,           0.0061637
                 157,            0.028712,             0.10233,                   0,             0.83553,             0.74314,             0.77975,             0.40378,            0.036385,             0.22117,                   0,            0.006139,            0.006139,            0.006139
                 158,            0.028218,             0.10714,                   0,             0.83549,             0.74293,              0.7796,             0.40199,             0.03602,             0.22071,                   0,           0.0061142,           0.0061142,           0.0061142
                 159,            0.029549,             0.12081,                   0,             0.82442,             0.74841,             0.78267,             0.41692,            0.035281,             0.21908,                   0,           0.0060895,           0.0060895,           0.0060895
                 160,            0.029078,             0.13289,                   0,             0.85445,             0.73717,             0.78784,             0.42505,            0.034889,             0.21535,                   0,           0.0060647,           0.0060647,           0.0060647
                 161,            0.029408,             0.11542,                   0,             0.82793,             0.74852,             0.78911,             0.41946,            0.035221,             0.21745,                   0,             0.00604,             0.00604,             0.00604
